skin,gamma,L1,L2,L3
Sensitive,1.0,2.3368686860975827,1.3216376198006852,0.0
Sensitive,2.0,2.5963977777707488,1.5406033714779874,0.0
Sensitive,4.0,0.0,0.3371671841030163,2.6250418540216613
Sensitive,0.1,1.8050666494228278,1.1615464328228093,0.5376028659620734
Sensitive,0.3,1.9421756513073274,1.2599669853310844,0.0
Sensitive,0.5,2.0238705030790523,1.3817936280388512,0.0
Sensitive,1.0,2.2064017252015033,1.6389098960124402,0.0
Sensitive,2.0,2.518411094474133,2.0036962098229347,0.0
Sensitive,4.0,2.9609649960376556,2.4433918133432178,0.0
Sensitive,0.1,1.8148747373167073,0.937822223491235,0.5688179215855388
Sensitive,0.3,1.9444464689885383,1.0271364738139968,0.0
Sensitive,0.5,2.0051487405629054,1.0973996037890799,0.0
Sensitive,1.0,2.1028504254143083,1.2207158080472462,0.0
Sensitive,2.0,2.2681375311864067,1.3916322748680607,0.0
Sensitive,4.0,2.3661550231343065,1.5432337049431206,0.0
Sensitive,0.1,2.088933810057299,1.12413907728658,0.8312865120731946
Sensitive,0.3,2.339293886963749,1.4014718979806133,0.9728760430055474
Sensitive,0.5,2.5660028336169765,1.6313637340448641,1.104125349281737
Sensitive,1.0,3.011005190453626,2.0480304893298653,1.3577496609045798
Sensitive,2.0,0.0,1.3392462105322611,1.8713221253897132
Sensitive,4.0,0.0,1.9535431124977578,2.1607109687782438
Sensitive,0.1,2.2523695067903673,1.2011237093512466,0.48174227809119824
Sensitive,0.3,2.5586397040430637,1.4372351181746794,0.01437185527376262
Sensitive,0.5,2.800497157787164,1.6331106934876027,0.0
Sensitive,1.0,3.237511532458735,1.9896233498294114,0.0
Sensitive,2.0,0.0,1.454065041839739,2.2549797598880943
Sensitive,4.0,0.0,1.8148510209057582,2.0376841617639774
Sensitive,0.1,1.9284412073083168,1.0540179443950342,0.8612302146078061
Sensitive,0.3,2.0345576935847727,1.125641050582163,0.9060464955071377
Sensitive,0.5,2.1327985130855236,1.1848187817286628,0.9436215530476117
Sensitive,1.0,2.344087874879919,1.2969660407338097,1.0218730191037657
Sensitive,2.0,2.60832898203318,1.4134351875338709,1.254792649037669
Sensitive,4.0,0.0,1.4005783155581937,2.760844092389283
Sensitive,0.1,1.8809172909455412,1.2320362652389787,0.7835982201654177
Sensitive,0.3,2.03277893080067,1.4293000709505037,0.1662775071328655
Sensitive,0.5,2.1597519631137896,1.5639006653324323,0.0
Sensitive,1.0,2.3429229093538075,1.7895315876668616,0.0
Sensitive,2.0,2.6130498993890723,2.042475656834663,0.0
